@timestamp,event.action,message,process.name,process.parent.name,process.args,dll.pe.original_file_name,dll.name,file.name,registry.path,registry.value,dns.question.name,destination.address,domain.abused,domain.spamhaus.score,ipgeolocation.country.name,ipgeolocation.city.name,ipgeolocation.latitude,ipgeolocation.longitude,ipgeolocation.isp,kibana.alert.rule.threat.tactic.name,kibana.alert.rule.threat.technique.subtechnique.name
"Sep 29, 2024 @ 13:27:10.471",lookup_requested,"DNS query is completed for the name raw.githubusercontent.com, type 28, query options 2251800887582720 with status 10054 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,raw.githubusercontent.com,185.199.111.133,-,-,United States,San Francisco,37.78229,-122.39117,"GitHub, Inc.","Command and Control, Exfiltration","Domain Generation Algorithms, Exfiltration to Code Repository, Exfiltration to Cloud Storage"
"Sep 29, 2024 @ 13:26:19.827",creation,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.log,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:26:19.798",end,Endpoint process event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,explorer.exe,C:\Users\John\fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:48.039",lookup_requested,"DNS query is completed for the name nodejs.org, type 28, query options 2251800887582720 with status 1460 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,nodejs.org,104.20.22.46,False,39,United States,San Francisco,37.78035,-122.39059,"Cloudflare, Inc.",-,-
"Sep 29, 2024 @ 13:24:27.179",lookup_requested,"DNS query is completed for the name raw.githubusercontent.com, type 28, query options 2251800887582720 with status 10054 Results  ",fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,raw.githubusercontent.com,185.199.111.133,-,-,United States,San Francisco,37.78229,-122.39117,"GitHub, Inc.",-,-
"Sep 29, 2024 @ 13:24:22.085",overwrite,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.conf,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:22.084",creation,Endpoint file event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,nodejs-portable.conf,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:21.888",load,Endpoint DLL load event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,nodejs-portable.exe,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 29, 2024 @ 13:24:21.832",start,Endpoint process event,fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,explorer.exe,C:\Users\John\fb951d3186b65a831453a187f6ee313af91de289c43c246f0e25a62657c919c8.exe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sep 16, 2024 @ 17:41:55.416",lookup_requested,"DNS query is completed for the name a.tsroxybaa.com, type 1, query options 140737488355336 with status 1460 Results  ",mspaint.exe,-,-,-,-,-,-,-,a.tsroxybaa.com,199.2.137.29,-,-,United States,Redmond,47.63883,-122.13123,Microsoft Corporation,-,-
